aqu	AQU	Amphimedon queenslandica	Metazoa;Porifera;
nve	NVE	Nematostella vectensis	Metazoa;Cnidaria;
hma	HMA	Hydra magnipapillata	Metazoa;Cnidaria;
sko	SKO	Saccoglossus kowalevskii	Metazoa;Bilateria;Deuterostoma;Hemichordata;
spu	SPU	Strongylocentrotus purpuratus	Metazoa;Bilateria;Deuterostoma;Echinodermata;
cin	CIN	Ciona intestinalis	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;
csa	CSA	Ciona savignyi	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;
odi	ODI	Oikopleura dioica	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;
bfl	BFL	Branchiostoma floridae	Metazoa;Bilateria;Deuterostoma;Chordata;Cephalochordata;
xla	XLA	Xenopus laevis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;
xtr	XTR	Xenopus tropicalis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;
gga	GGA	Gallus gallus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;
cfa	CFA	Canis familiaris	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Carnivora;
mdo	MDO	Monodelphis domestica	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;
age	AGE	Ateles geoffroyi	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;
lla	LLA	Lagothrix lagotricha	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;
sla	SLA	Saguinus labiatus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cebidae;
mml	MML	Macaca mulatta	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;
mne	MNE	Macaca nemestrina	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;
pbi	PBI	Pygathrix bieti	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;
ggo	GGO	Gorilla gorilla	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
hsa	HSA	Homo sapiens	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
ppa	PPA	Pan paniscus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
ppy	PPY	Pongo pygmaeus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
ptr	PTR	Pan troglodytes	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
ssy	SSY	Symphalangus syndactylus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;
lca	LCA	Lemur catta	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Lemuridae;
oan	OAN	Ornithorhynchus anatinus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Prototheria;
cgr	CGR	Cricetulus griseus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;
mmu	MMU	Mus musculus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;
